id;latitude;longitude;yearcollected;tname
380453603;-22.40999985;166.6999969;;Trapezia cymodoce
380455065;-21.85000038;159.5299988;;Trapezia cymodoce
380456245;-19.38999939;163.7799988;;Trapezia cymodoce
380456427;-21.51000023;166.3500061;;Trapezia cymodoce
380456504;-19.55999947;158.2400055;;Trapezia cymodoce
380456940;-20.82999992;161.6699982;;Trapezia cymodoce
380457875;-20.45999908;164.1399994;;Trapezia cymodoce
380458363;-20.70999908;164.2799988;;Trapezia cymodoce
380458471;-19.51000023;158.4700012;;Trapezia cymodoce
388214382;-21.6925;114.3028;1995;Trapezia cymodoce
388214394;-21.9416;113.925;1981;Trapezia cymodoce
388214513;-22.2344;113.8333;1981;Trapezia cymodoce
388215157;-24.4833;113.4;1959;Trapezia cymodoce
388215158;-22.4833;113.7;1968;Trapezia cymodoce
388215159;-24.4833;113.4;1962;Trapezia cymodoce
388215161;-23.3194;113.7694;1981;Trapezia cymodoce
388215215;-24.4833;113.4167;1980;Trapezia cymodoce
388215216;-24.4833;113.4167;1980;Trapezia cymodoce
388215247;-21.681;114.3425;1995;Trapezia cymodoce
388215248;-21.6766;114.3458;1995;Trapezia cymodoce
388215249;-21.6575;114.3453;1995;Trapezia cymodoce
388215251;-21.681;114.3425;1995;Trapezia cymodoce
388215252;-21.6575;114.3453;1995;Trapezia cymodoce
393044027;-2.45;96.4;1913;Trapezia cymodoce
393044786;-0.016667;98.516667;1965;Trapezia cymodoce
393044794;-7.4;117.816667;1930;Trapezia cymodoce
393044818;-7.4;117.816667;1930;Trapezia cymodoce
393045040;-3.68286;128.18616;1990;Trapezia cymodoce
393045041;-3.68286;128.18616;1990;Trapezia cymodoce
393045042;-3.702474;128.168392;1990;Trapezia cymodoce
393045043;-3.702474;128.168392;1990;Trapezia cymodoce
393045044;-3.702474;128.168392;1990;Trapezia cymodoce
393045045;-3.701467;128.16217;1990;Trapezia cymodoce
393045046;-8.6;119.52;1984;Trapezia cymodoce
393045047;-3.701467;128.16217;1990;Trapezia cymodoce
393045048;-2.25;98.516667;1929;Trapezia cymodoce
393045049;-3.701467;128.16217;1990;Trapezia cymodoce
393045050;-3.528841;128.375416;1990;Trapezia cymodoce
393045051;-3.528841;128.375416;1990;Trapezia cymodoce
393045052;-3.705043;128.105135;1990;Trapezia cymodoce
393045053;-3.705043;128.105135;1990;Trapezia cymodoce
393045054;-3.705043;128.105135;1990;Trapezia cymodoce
