id;latitude;longitude;yearcollected;tname
585499;14.28999996;74.70999908;;Takifugu oblongus
739235;-33.78329849;26.0333004;1993;Takifugu oblongus
1055334;23.56999969;119.5599976;;Takifugu oblongus
1390835;20.31669998;86.75;1786;Takifugu oblongus
1701730;22.46999931;120.4300003;;Takifugu oblongus
1875521;8.5;79;1786;Takifugu oblongus
2325984;11.98333359;79.83333588;;Takifugu oblongus
2420547;19.96666718;72.71666718;1786;Takifugu oblongus
2468638;13.40799999;121.1760025;;Takifugu oblongus
4303940;19.75;85.33333588;;Takifugu oblongus
5176503;22.57999992;120.2900009;;Takifugu oblongus
5257267;24.45000076;118.4000015;;Takifugu oblongus
5956749;19.76666641;85.33335876;;Takifugu oblongus
6396565;-34.02000046;25.47999954;1993;Takifugu oblongus
6401408;-20.61527824;55.23055649;1786;Takifugu oblongus
6632725;22.55999947;120.2799988;;Takifugu oblongus
7098877;19.76666641;85.33333588;1786;Takifugu oblongus
7119305;19.60000038;72.71666718;1786;Takifugu oblongus
7145701;11.98333359;80;;Takifugu oblongus
7429099;22.41111183;113.8833313;;Takifugu oblongus
7864657;19.95000076;72.76670074;1786;Takifugu oblongus
8424410;-34.11999893;24.55999947;1994;Takifugu oblongus
8678384;25;125;;Takifugu oblongus
8761181;22.64999962;120.2699966;;Takifugu oblongus
8861971;22.57999992;120.2900009;;Takifugu oblongus
9265005;11.98333359;79.83333588;;Takifugu oblongus
9415649;-34.20000076;24.93330002;1994;Takifugu oblongus
9529712;23.12999916;120.1999969;;Takifugu oblongus
9972394;22.46999931;120.4300003;;Takifugu oblongus
10100699;-34.03329849;25.79999924;1993;Takifugu oblongus
10617708;22.11800003;84.03500366;;Takifugu oblongus
10980144;13.03199959;80.25099945;;Takifugu oblongus
11018757;-6;106.75;;Takifugu oblongus
11604714;11.98333359;79.83333588;;Takifugu oblongus
15007668;20.47599983;109.8249969;;Takifugu oblongus
15030497;25;125;;Takifugu oblongus
15095682;11.9829998;79.83300018;;Takifugu oblongus
15113347;11.9829998;80;;Takifugu oblongus
15349570;-6;106.75;;Takifugu oblongus
15494373;11.9829998;79.83300018;;Takifugu oblongus
15632547;11.9829998;79.83300018;;Takifugu oblongus
15640456;12.5;112.5;;Takifugu oblongus
15644239;0;105;;Takifugu oblongus
15654349;12.5;112.5;;Takifugu oblongus
15826045;22.46999931;120.4300003;1991;Takifugu oblongus
15827920;22.57999992;120.2900009;1974;Takifugu oblongus
15828384;23.56999969;119.5599976;1966;Takifugu oblongus
15834304;22.46999931;120.4300003;1996;Takifugu oblongus
15837131;23.12999916;120.1999969;1970;Takifugu oblongus
15841566;24.94000053;121.9000015;2004;Takifugu oblongus
15986188;20.51600075;110.9810028;;Takifugu oblongus
15986241;20.64999962;111.4869995;;Takifugu oblongus
388083521;-11.275;140.933335;1969;Takifugu oblongus
388083522;-19.567775;116.859725;1971;Takifugu oblongus
388088924;-30.63514;114.784445;1967;Takifugu oblongus
388137959;-19.65903;117.543055;1971;Takifugu oblongus
393424461;8.5;79;;Takifugu oblongus
393424462;19.766666;85.333336;;Takifugu oblongus
393424463;20.3167;86.75;;Takifugu oblongus
393424464;-20.615278;55.230556;;Takifugu oblongus
393424475;19.766666;85.33336;;Takifugu oblongus
393442569;19.966667;72.71667;;Takifugu oblongus
393442570;19.6;72.71667;;Takifugu oblongus
393442571;19.95;72.7667;;Takifugu oblongus
